time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
7182.478831922128,3246.1024741671067,0.9999941872219075,5.194041972912551e-06,0.003112520674117903,1.3498464852872846e-09
7183.47889859324,3245.128730474277,0.9999941890416788,5.1941100741851824e-06,0.0031120333914600464,1.3498995871226234e-09
7184.478965264351,3244.1552788748622,0.9999941908593925,5.1941781532443224e-06,0.0031115461920125436,1.3499526730288355e-09
7185.479031935462,3243.1821193241162,0.9999941926818895,5.194246210097823e-06,0.0031110590757575766,1.3500057430107e-09
7186.479098606574,3242.2092516317957,0.9999941945031492,5.1943142447535315e-06,0.003110572042677339,1.3500587970729927e-09
7187.479165277686,3241.236675815088,0.9999941963170798,5.1943822572192935e-06,0.003110085092754024,1.3501118352204896e-09
7188.479231948797,3240.2643917249,0.999994198136744,5.194450247502949e-06,0.0031095982259698326,1.3501648574579643e-09
7189.479298619908,3239.292399295012,0.9999941999495092,5.194518215612338e-06,0.0031091114423069735,1.3502178637901896e-09
7190.479365291019,3238.3206984590465,0.9999942017747402,5.194586161555294e-06,0.0031086247417476593,1.350270854221937e-09
7191.4794319621315,3237.349289088105,0.9999942035868392,5.194654085339651e-06,0.0031081381242741087,1.350323828757976e-09
7192.479498633243,3236.3781711154543,0.9999942053986305,5.194721986973235e-06,0.0031076515898685454,1.3503767874030745e-09
7193.479565304354,3235.407344411813,0.9999942072036228,5.194789866463873e-06,0.0031071651385132007,1.350429730161999e-09
7194.479631975465,3234.43680897245,0.9999942090338154,5.1948577238193876e-06,0.00310667877019031,1.3504826570395158e-09
7195.479698646576,3233.4665646469434,0.9999942108376043,5.194925559047597e-06,0.003106192484882116,1.3505355680403881e-09
7196.479765317688,3232.4966113886535,0.9999942126533011,5.194993372156319e-06,0.0031057062825708627,1.3505884631693793e-09
7197.4798319888,3231.526949067559,0.9999942144612886,5.195061163153366e-06,0.0031052201632388076,1.3506413424312499e-09
7198.479898659911,3230.5575776158703,0.9999942162740554,5.195128932046547e-06,0.0031047341268682057,1.3506942058307594e-09
7199.479965331022,3229.5884969448084,0.9999942180847158,5.195196678843668e-06,0.0031042481734413242,1.3507470533726662e-09
7200.480032002134,3228.619707007041,0.9999942198927558,5.195264403552535e-06,0.0031037623029404326,1.3507998850617277e-09
7201.480098673245,3227.651207609379,0.9999942216975981,5.195332106180944e-06,0.0031032765153478064,1.3508527009026982e-09
7202.4801653443565,3226.682998808214,0.9999942235115014,5.195399786736697e-06,0.003102790810645728,1.3509055009003328e-09
7203.480232015468,3225.7150803683326,0.9999942253144154,5.195467445227583e-06,0.003102305188816483,1.3509582850593828e-09
7204.48029868658,3224.7474523458122,0.9999942271313862,5.195535081661397e-06,0.0031018196498423666,1.3510110533846008e-09
7205.480365357691,3223.780114567524,0.9999942289357612,5.195602696045926e-06,0.0031013341937056772,1.3510638058807358e-09
7206.480432028802,3222.813066943434,0.999994230739559,5.195670288388952e-06,0.0031008488203887177,1.351116542552536e-09
7207.480498699913,3221.846309404168,0.9999942325418208,5.1957378586982575e-06,0.0031003635298737994,1.3511692634047482e-09
7208.480565371025,3220.879841859335,0.9999942343544611,5.195805406981621e-06,0.0030998783221432387,1.3512219684421177e-09
7209.480632042137,3219.913664260069,0.9999942361505196,5.195872933246818e-06,0.0030993931971793546,1.351274657669389e-09
7210.480698713248,3218.9477764322464,0.9999942379547272,5.1959404375016186e-06,0.0030989081549644784,1.3513273310913037e-09
7211.480765384359,3217.982178389187,0.9999942397594035,5.196007919753794e-06,0.0030984231954809395,1.3513799887126041e-09
7212.48083205547,3217.0168699981054,0.9999942415632734,5.196075380011107e-06,0.0030979383187110772,1.3514326305380296e-09
7213.480898726582,3216.0518511468695,0.999994243364995,5.196142818281323e-06,0.003097453524637236,1.351485256572318e-09
7214.480965397694,3215.0871217857375,0.9999942451631584,5.196210234572199e-06,0.0030969688132417663,1.3515378668202068e-09
7215.481032068805,3214.1226818230793,0.9999942469692745,5.1962776288914914e-06,0.0030964841845070243,1.3515904612864311e-09
7216.481098739916,3213.1585311670974,0.9999942487688334,5.196345001246955e-06,0.003095999638415368,1.3516430399757253e-09
7217.481165411027,3212.194669684058,0.9999942505667259,5.1964123516463365e-06,0.0030955151749491676,1.3516956028928212e-09
7218.481232082139,3211.2310973652684,0.9999942523677873,5.196479680097385e-06,0.0030950307940907956,1.3517481500424507e-09
7219.4812987532505,3210.2678141184174,0.9999942541703006,5.196546986607845e-06,0.0030945464958226283,1.3518006814293439e-09
7220.481365424362,3209.304819788339,0.9999942559659709,5.196614271185455e-06,0.0030940622801270507,1.3518531970582285e-09
7221.481432095473,3208.3421143449746,0.999994257759445,5.196681533837953e-06,0.003093578146986452,1.3519056969338317e-09
7222.481498766585,3207.3796976954586,0.9999942595618295,5.1967487745730735e-06,0.0030930940963832267,1.3519581810608793e-09
