label,time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
kp=250,11425.761717447831,454.4475493916578,0.9999984207055412,5.352612073769858e-06,0.0016223883412714057,7.386513674874061e-10
kp=250,11426.761784118942,454.3112267003705,0.9999984211766155,5.352630028974996e-06,0.0016221422634890381,7.38658801633154e-10
kp=250,11427.761850790053,454.1749449136007,0.999998421643783,5.3526479786736245e-06,0.0016218962238744802,7.386662335488477e-10
kp=250,11428.761917461165,454.0387039912721,0.9999984221361787,5.3526659228674704e-06,0.0016216502224214164,7.386736632351558e-10
kp=250,11429.761984132276,453.90250395484753,0.9999984226151161,5.352683861558258e-06,0.0016214042591235335,7.386810906927474e-10
kp=250,11430.762050803387,453.766344764211,0.9999984230644123,5.352701794747713e-06,0.0016211583339745192,7.386885159222909e-10
kp=250,11431.762117474498,453.6302264202743,0.9999984235809595,5.352719722437559e-06,0.00162091244696806,7.386959389244547e-10
kp=250,11432.76218414561,453.4941489136709,0.9999984240580151,5.352737644629521e-06,0.0016206665980978488,7.387033596999071e-10
kp=250,11433.76225081672,453.3581122247531,0.9999984245245037,5.352755561325322e-06,0.0016204207873575746,7.387107782493159e-10
kp=250,11434.762317487834,453.2221163543906,0.999998425009355,5.352773472526684e-06,0.0016201750147409296,7.387181945733491e-10
kp=250,11435.762384158945,453.08616126235614,0.9999984254961606,5.35279137823533e-06,0.0016199292802416083,7.387256086726739e-10
kp=250,11436.762450830056,452.9502469494823,0.9999984259911205,5.35280927845298e-06,0.0016196835838533058,7.387330205479577e-10
kp=250,11437.762517501167,452.8143734268689,0.9999984264550177,5.352827173181357e-06,0.0016194379255697164,7.38740430199868e-10
kp=250,11438.762584172278,452.6785406439512,0.9999984269166206,5.35284506242218e-06,0.001619192305384539,7.387478376290713e-10
kp=250,11439.76265084339,452.54274861179346,0.9999984274047043,5.352862946177169e-06,0.0016189467232914719,7.387552428362345e-10
kp=250,11440.7627175145,452.40699731061994,0.9999984278798879,5.352880824448042e-06,0.001618701179284213,7.387626458220242e-10
kp=250,11441.762784185612,452.2712867411918,0.9999984283481291,5.352898697236521e-06,0.0016184556733564658,7.387700465871068e-10
kp=250,11442.762850856725,452.1356168734173,0.9999984288381046,5.352916564544322e-06,0.0016182102055019303,7.387774451321483e-10
kp=250,11443.762917527836,451.9999877183104,0.9999984293102288,5.352934426373163e-06,0.0016179647757143109,7.38784841457815e-10
kp=250,11444.762984198947,451.8643992354537,0.999998429793092,5.352952282724762e-06,0.0016177193839873117,7.387922355647724e-10
kp=250,11445.763050870059,451.7288514358335,0.9999984302697417,5.352970133600834e-06,0.00161747403031464,7.387996274536862e-10
kp=250,11446.76311754117,451.5933442892763,0.9999984307459377,5.352987979003096e-06,0.0016172287146900002,7.388070171252217e-10
kp=250,11447.763184212281,451.4578777861618,0.9999984312273972,5.3530058189332626e-06,0.001616983437107103,7.388144045800438e-10
kp=250,11448.763250883392,451.32245192714777,0.9999984316741964,5.353023653393048e-06,0.0016167381975596563,7.388217898188178e-10
kp=250,11449.763317554503,451.1870666717043,0.999998432160369,5.353041482384168e-06,0.0016164929960413717,7.38829172842208e-10
kp=250,11450.763384225615,451.0517220616353,0.9999984326459072,5.353059305908336e-06,0.0016162478325459611,7.388365536508795e-10
kp=250,11451.763450896728,450.9164180357861,0.999998433113524,5.353077123967264e-06,0.0016160027070671369,7.388439322454966e-10
kp=250,11452.763517567839,450.781154584449,0.999998433591544,5.353094936562664e-06,0.0016157576195986144,7.388513086267229e-10
kp=250,11453.76358423895,450.6459317288038,0.9999984340625847,5.3531127436962516e-06,0.0016155125701341091,7.38858682795223e-10
kp=250,11454.763650910061,450.5107494282208,0.999998434532057,5.353130545369735e-06,0.0016152675586673373,7.388660547516603e-10
kp=250,11455.763717581172,450.375607672946,0.9999984350282098,5.353148341584826e-06,0.0016150225851920168,7.388734244966983e-10
kp=250,11456.763784252284,450.2405064635157,0.9999984354877438,5.353166132343235e-06,0.0016147776497018682,7.388807920310006e-10
kp=250,11457.763850923395,450.10544580045695,0.9999984359616941,5.353183917646672e-06,0.0016145327521906116,7.388881573552306e-10
kp=250,11458.763917594506,449.970425622437,0.999998436432418,5.353201697496845e-06,0.0016142878926519674,7.388955204700508e-10
kp=250,11459.763984265617,449.8354459608654,0.9999984369280248,5.353219471895465e-06,0.0016140430710796607,7.389028813761241e-10
kp=250,11460.76405093673,449.70050678529367,0.9999984374078528,5.353237240844239e-06,0.0016137982874674134,7.389102400741131e-10
kp=250,11461.764117607841,449.56560808586994,0.9999984378540483,5.353255004344873e-06,0.0016135535418089523,7.389175965646802e-10
kp=250,11462.764184278953,449.43074986304083,0.9999984383404872,5.353272762399076e-06,0.0016133088340980044,7.389249508484875e-10
kp=250,11463.764250950064,449.29593207598055,0.9999984388033687,5.353290515008553e-06,0.0016130641643282962,7.38932302926197e-10
kp=250,11464.764317621175,449.1611547457341,0.9999984392935855,5.353308262175011e-06,0.0016128195324935576,7.389396527984704e-10
kp=250,11465.764384292286,449.0264178417543,0.9999984397701489,5.353326003900155e-06,0.0016125749385875192,7.389470004659694e-10
kp=250,11466.764450963397,448.89172135410604,0.999998440214942,5.35334374018569e-06,0.0016123303826039125,7.389543459293553e-10
kp=250,11467.764517634509,448.7570652728408,0.9999984406787832,5.353361471033319e-06,0.001612085864536468,7.389616891892894e-10
kp=250,11468.764584305622,448.62244956734247,0.9999984411665029,5.353379196444746e-06,0.0016118413843789223,7.389690302464322e-10
kp=250,11469.764650976733,448.4878742792519,0.999998441636847,5.3533969164216755e-06,0.0016115969421250105,7.389763691014452e-10
