n,M_g_per_mol,weight_fraction,Mn,Mw,PDI
131,3674.55,1.8318376241996394e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
132,3702.6,1.8457841928726369e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
133,3730.65,1.8597302028256179e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
134,3758.7000000000003,1.8736756540753683e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
135,3786.75,1.8876205466386556e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
136,3814.8,1.9015648805322444e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
137,3842.85,1.915508655772904e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
138,3870.9,1.9294518723774068e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
139,3898.9500000000003,1.943394530362534e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
140,3927.0,1.957336629745057e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
141,3955.05,1.9712781705417147e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
142,3983.1,1.9852191527693245e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
143,4011.15,1.999159576444612e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
144,4039.2000000000003,2.013099441584359e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
145,4067.25,2.0270387482053553e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
146,4095.3,2.040977496324325e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
147,4123.35,2.054915685958075e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
148,4151.400000000001,2.0688533171233557e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
149,4179.45,2.0827903898369227e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
150,4207.5,2.0967269041155535e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
151,4235.55,2.110662859976027e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
152,4263.6,2.1245982574350817e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
153,4291.650000000001,2.1385330965094917e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
154,4319.7,2.1524673772160157e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
155,4347.75,2.1664010995714427e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
156,4375.8,2.1803342635924915e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
157,4403.85,2.194266869295976e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
158,4431.900000000001,2.208198916698604e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
159,4459.95,2.2221304058171813e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
160,4488.0,2.236061336668451e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
161,4516.05,2.249991709269161e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
162,4544.1,2.263921523636097e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
